Date,Species,Irrigation,Sample,Wet weight,Dry weight,Height,Soil moisture,Rainfall,Total precipitation,Temperature
09-Feb,Kikuju,25,S1,1.831,0.532,7,,2.4,27.4,
09-Feb,Kikuju,25,S2,12.833,3.722,5,,2.4,27.4,
09-Feb,Kikuju,25,S3,37.819,8.823,6,,2.4,27.4,
16-Feb,Kikuju,25,S1,14.459,4.519,4,4.75,2.1,27.1,
16-Feb,Kikuju,25,S2,10.819,4.234,3,6,2.1,27.1,
16-Feb,Kikuju,25,S3,49.589,11.285,5,5,2.1,27.1,
23-Feb,Kikuju,25,S1,5.46,2.723,2.5,2.5,31,56,
23-Feb,Kikuju,25,S2,12.688,4.291,2.5,4,31,56,
23-Feb,Kikuju,25,S3,18.222,5.086,3,3,31,56,
01-Mar,Kikuju,25,S1,7.223,4.071,2,1.1,3.9,28.9,
01-Mar,Kikuju,25,S2,14.122,6.55,4,1.5,3.9,28.9,
01-Mar,Kikuju,25,S3,12.115,5.467,4.5,1.8,3.9,28.9,
14-Mar,Kikuju,25,S1,5.806,1.1786,1.5,2.5,32.3,57.3,
14-Mar,Kikuju,25,S2,6.635,1.917,2.5,2,32.3,57.3,
14-Mar,Kikuju,25,S3,5.996,1.702,2.5,1,32.3,57.3,
22-Mar,Kikuju,25,S1,8.837,3.033,4.5,4,54.9,79.9,
22-Mar,Kikuju,25,S2,6.053,2.251,2,3,54.9,79.9,
22-Mar,Kikuju,25,S3,9.9,3.017,4.5,5.5,54.9,79.9,
28-Mar,Kikuju,25,S1,17.658,4.764,2.5,2,33.4,58.4,
28-Mar,Kikuju,25,S2,27.566,5.737,3.5,4,33.4,58.4,
28-Mar,Kikuju,25,S3,23.717,4.228,2.5,3,33.4,58.4,
05-Apr,Kikuju,25,S1,9.811,2.95,3,4.5,37.2,62.2,
05-Apr,Kikuju,25,S2,9.134,2.538,3,7,37.2,62.2,
05-Apr,Kikuju,25,S3,12.911,3.308,3.5,4.5,37.2,62.2,
12-Apr,Kikuju,25,S1,10.13,2.598,3,2.5,72.8,97.8,
12-Apr,Kikuju,25,S2,14.048,2.902,3,4.5,72.8,97.8,
12-Apr,Kikuju,25,S3,10.4,2.46,3,3,72.8,97.8,
19-Apr,Kikuju,25,S1,9.277,2.401,3,2.5,0,25,
19-Apr,Kikuju,25,S2,14.516,3.532,3,3,0,25,
19-Apr,Kikuju,25,S3,19.359,4.253,3,2.5,0,25,
25-Apr,Kikuju,25,S1,5.645,1.684,3.5,2.1,0,25,
25-Apr,Kikuju,25,S2,3.953,0.705,2.5,1,0,25,
25-Apr,Kikuju,25,S3,3.278,0.272,3,2,0,25,
03-May,Kikuju,25,S1,21.43,5.823,3,1,3.5,28.5,
03-May,Kikuju,25,S2,13.239,3.375,2.5,2,3.5,28.5,
03-May,Kikuju,25,S3,11.77,3.15,3,3,3.5,28.5,
09-May,Kikuju,25,S1,12.118,3.564,3.5,3,0,25,
09-May,Kikuju,25,S2,9.38,2.839,2.5,2.5,0,25,
09-May,Kikuju,25,S3,14.396,4.504,4,2.5,0,25,
17-May,Kikuju,25,S1,21.732,6.692,2.5,3,5.3,30.3,
17-May,Kikuju,25,S2,13.271,4.101,2.5,3,5.3,30.3,
17-May,Kikuju,25,S3,11.288,3.55,2,3,5.3,30.3,
